姓名: 姓名,学号: 学号,身份证号: 身份证号码,电话: 电话,
姓名: 唐灿明069,学号: 2023069,身份证号: 50023320000101‘,电话: 15223650283,
姓名: 唐灿明070,学号: 2023070,身份证号: 50023320000101‘,电话: 15223650284,
姓名: 唐灿明071,学号: 2023071,身份证号: 50023320000101‘,电话: 15223650285,
姓名: 唐灿明072,学号: 2023072,身份证号: 50023320000101‘,电话: 15223650286,
姓名: 唐灿明073,学号: 2023073,身份证号: 50023320000101‘,电话: 15223650287,
姓名: 唐灿明074,学号: 2023074,身份证号: 50023320000101‘,电话: 15223650288,
姓名: 唐灿明075,学号: 2023075,身份证号: 50023320000101‘,电话: 15223650289,
姓名: 唐灿明076,学号: 2023076,身份证号: 50023320000101‘,电话: 15223650290,
姓名: 唐灿明077,学号: 2023077,身份证号: 50023320000101‘,电话: 15223650291,
姓名: 唐灿明078,学号: 2023078,身份证号: 50023320000101‘,电话: 15223650292,
姓名: 唐灿明079,学号: 2023079,身份证号: 50023320000101‘,电话: 15223650293,
姓名: 唐灿明080,学号: 2023080,身份证号: 50023320000101‘,电话: 15223650294,
姓名: 唐灿明081,学号: 2023081,身份证号: 50023320000101‘,电话: 15223650295,
姓名: 唐灿明082,学号: 2023082,身份证号: 50023320000101‘,电话: 15223650296,
姓名: 唐灿明083,学号: 2023083,身份证号: 50023320000101‘,电话: 15223650297,
姓名: 唐灿明084,学号: 2023084,身份证号: 50023320000101‘,电话: 15223650298,
姓名: 唐灿明085,学号: 2023085,身份证号: 50023320000101‘,电话: 15223650299,
姓名: 唐灿明086,学号: 2023086,身份证号: 50023320000101‘,电话: 15223650300,
姓名: 唐灿明087,学号: 2023087,身份证号: 50023320000101‘,电话: 15223650301,
姓名: 唐灿明088,学号: 2023088,身份证号: 50023320000101‘,电话: 15223650302,
姓名: 唐灿明089,学号: 2023089,身份证号: 50023320000101‘,电话: 15223650303,
姓名: 唐灿明090,学号: 2023090,身份证号: 50023320000101‘,电话: 15223650304,
姓名: 唐灿明091,学号: 2023091,身份证号: 50023320000101‘,电话: 15223650305,
姓名: 唐灿明092,学号: 2023092,身份证号: 50023320000101‘,电话: 15223650306,
姓名: 唐灿明093,学号: 2023093,身份证号: 50023320000101‘,电话: 15223650307,
姓名: 唐灿明094,学号: 2023094,身份证号: 50023320000101‘,电话: 15223650308,
姓名: 唐灿明095,学号: 2023095,身份证号: 50023320000101‘,电话: 15223650309,
姓名: 唐灿明096,学号: 2023096,身份证号: 50023320000101‘,电话: 15223650310,
姓名: 唐灿明097,学号: 2023097,身份证号: 50023320000101‘,电话: 15223650311,
姓名: 唐灿明098,学号: 2023098,身份证号: 50023320000101‘,电话: 15223650312,
姓名: 唐灿明099,学号: 2023099,身份证号: 50023320000101‘,电话: 15223650313,
姓名: 唐灿明100,学号: 2023100,身份证号: 50023320000101‘,电话: 15223650314,
姓名: 唐灿明101,学号: 2023101,身份证号: 50023320000101‘,电话: 15223650315,
姓名: 唐灿明102,学号: 2023102,身份证号: 50023320000101‘,电话: 15223650316,
姓名: 唐灿明103,学号: 2023103,身份证号: 50023320000101‘,电话: 15223650317,
姓名: 唐灿明104,学号: 2023104,身份证号: 50023320000101‘,电话: 15223650318,
姓名: 唐灿明105,学号: 2023105,身份证号: 50023320000101‘,电话: 15223650319,
姓名: 唐灿明106,学号: 2023106,身份证号: 50023320000101‘,电话: 15223650320,
姓名: 唐灿明107,学号: 2023107,身份证号: 50023320000101‘,电话: 15223650321,
姓名: 唐灿明108,学号: 2023108,身份证号: 50023320000101‘,电话: 15223650322,
姓名: 唐灿明109,学号: 2023109,身份证号: 50023320000101‘,电话: 15223650323,
姓名: 唐灿明110,学号: 2023110,身份证号: 50023320000101‘,电话: 15223650324,
姓名: 唐灿明111,学号: 2023111,身份证号: 50023320000101‘,电话: 15223650325,
姓名: 唐灿明112,学号: 2023112,身份证号: 50023320000101‘,电话: 15223650326,
姓名: 唐灿明113,学号: 2023113,身份证号: 50023320000101‘,电话: 15223650327,
姓名: 唐灿明114,学号: 2023114,身份证号: 50023320000101‘,电话: 15223650328,
姓名: 唐灿明115,学号: 2023115,身份证号: 50023320000101‘,电话: 15223650329,
姓名: 唐灿明116,学号: 2023116,身份证号: 50023320000101‘,电话: 15223650330,
姓名: 唐灿明117,学号: 2023117,身份证号: 50023320000101‘,电话: 15223650331,
姓名: 唐灿明118,学号: 2023118,身份证号: 50023320000101‘,电话: 15223650332,
姓名: 唐灿明119,学号: 2023119,身份证号: 50023320000101‘,电话: 15223650333,
姓名: 唐灿明120,学号: 2023120,身份证号: 50023320000101‘,电话: 15223650334,
姓名: 唐灿明121,学号: 2023121,身份证号: 50023320000101‘,电话: 15223650335,
姓名: 唐灿明122,学号: 2023122,身份证号: 50023320000101‘,电话: 15223650336,
姓名: 唐灿明123,学号: 2023123,身份证号: 50023320000101‘,电话: 15223650337,
姓名: 唐灿明124,学号: 2023124,身份证号: 50023320000101‘,电话: 15223650338,
姓名: 唐灿明125,学号: 2023125,身份证号: 50023320000101‘,电话: 15223650339,
姓名: 唐灿明126,学号: 2023126,身份证号: 50023320000101‘,电话: 15223650340,
姓名: 唐灿明127,学号: 2023127,身份证号: 50023320000101‘,电话: 15223650341,
